Product Name,Supplier,Lead Time (days),Supplier Code,Preferred Supplier,Comment,Website
RAISING THE HEEL IN FOOTWEAR UP TO 25mm,REED MEDICAL LIMITED,27,B5,,,
COVERING B54 IN A SINGLE DENSITY MATERIAL,REED MEDICAL LIMITED,27,B55A,,,
COVERING B54 IN A DUAL DENSITY MATERIAL,REED MEDICAL LIMITED,27,B55B,,,
COVERING B54 IN A MULTI DENSITY MATERIAL,REED MEDICAL LIMITED,27,B55C,,,
ADDITIONAL POSTING TO ANY FFOs - B40-B50-B51-B54,REED MEDICAL LIMITED,27,B56,,,
STRETCHING,REED MEDICAL LIMITED,27,B57,,,
LOWERING THE HEEL,REED MEDICAL LIMITED,27,B6,,,
ADDITION OF A HEEL SEAT/VALGUS/VARUS WEDGE FITTED TO SHOE,REED MEDICAL LIMITED,27,B7,,,
STIRRUP/HEEL/TOE RAISING OR CALIPER RETAINING STRAP,REED MEDICAL LIMITED,27,B8,,,
ANY ADDITIONAL PADDING,REED MEDICAL LIMITED,27,B9,,,
RENEWING INSIDE COMPENSATE RAISE UP TO 25mm,REED MEDICAL LIMITED,27,C1,,,
PATCH TO UPPER MACHINED/SOLUTIONED,REED MEDICAL LIMITED,27,C10,,,
RESTITCHING UPPER PER 25mm OR PART THEREOF,REED MEDICAL LIMITED,27,C11,,,
RE-FACING INC. EYELETS- HOOKS- D-RINGS - PER SHOE,REED MEDICAL LIMITED,27,C12,,,
REPLACE EYELETS/SKI HOOKS,REED MEDICAL LIMITED,27,C13,,,
RENEW LACES (PAIR),REED MEDICAL LIMITED,27,C14,,,
RENEW ELASTIC INSERT,REED MEDICAL LIMITED,27,C15,,,
RENEW ZIP OF FOOTWEAR,REED MEDICAL LIMITED,27,C16,,,
RENEW TONGUE OF FOOTWEAR,REED MEDICAL LIMITED,27,C17,,,
ANY RE-PADDING OF FOOTWEAR,REED MEDICAL LIMITED,27,C18,,,
